"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SourceCheckpoint"
"2026-08-broader-family-canonical-v2","RN","Q",0.4,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,0.9045840894469035,0.6317960338270898,0.2727880556198137,0.2727880556198137,-0.9255985622421861,0.8251748251748252,0.6083916083916084,-0.8251748251748252,10331,9071,20.662,18.142,1,1,1,1,1,1,1000,1000,-1260,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_timing_N1000\checkpoints\scan\rn\Q_0p4\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,0.9215181315858076,0.6317960338270898,0.2897220977587178,0.2897220977587178,-0.9470425629436131,0.8531468531468531,0.6083916083916084,-0.8531468531468531,10346,9071,20.692,18.142,1,1,1,1,1,1,1000,1000,-1275,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_timing_N1000\checkpoints\scan\bardeen\g_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Original matched-flat KNN",1000,0.5,16,3,12,12,0.9236515613081204,0.6317960338270898,0.2918555274810306,0.2918555274810306,-0.9545746115936747,0.8811188811188811,0.6083916083916084,-0.8811188811188811,10338,9071,20.676,18.142,1,1,1,1,1,1,1000,1000,-1267,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_timing_N1000\checkpoints\scan\hayward\ell_0p2\seed_01.mx"
