"Protocol","NSeeds","SignedMeanDeltaRho","SignedStdDeltaRho","MedianAbsDeltaRho","Q1AbsDeltaRho","Q3AbsDeltaRho","IQRAbsDeltaRho","IQRFlaggedSeeds"
"Original matched-flat KNN",10,0.16018070925756447,0.250086083457771,0.23986845110355315,0.09004419529776209,0.3049983281906857,0.2149541328929236,""
"Strict radius",10,0.6883116120040708,0.4420714122210075,0.627866517918786,0.2579401351890366,1.0215679144357974,0.7636277792467608,""
"Pure KNN",10,-0.18922433988647566,0.2453339693001356,0.14047256604176758,0.05676865684397303,0.4457828988671213,0.38901424202314827,""
"Mutual KNN",10,0.3923155658236583,0.36234847872068826,0.30156154719361056,0.09472348858723767,0.635552216727131,0.5408287281398934,""
"Edge-matched radius",10,0.6814689978659434,0.4449802090760645,0.6295357928559036,0.22562706293972534,0.9957203809551592,0.7700933180154339,""
