"Family","ParameterName","ParameterValue","NSeeds","RhoBHMean","RhoBHSD","RhoBHSEM","RhoBHCI95Low","RhoBHCI95High","RhoBHMinimum","RhoBHMaximum","RhoFlatMean","RhoFlatSD","RhoFlatSEM","RhoFlatCI95Low","RhoFlatCI95High","RhoFlatMinimum","RhoFlatMaximum","DeltaRhoMean","DeltaRhoSD","DeltaRhoSEM","DeltaRhoCI95Low","DeltaRhoCI95High","DeltaRhoMinimum","DeltaRhoMaximum","AbsDeltaRhoMean","AbsDeltaRhoSD","AbsDeltaRhoSEM","AbsDeltaRhoCI95Low","AbsDeltaRhoCI95High","AbsDeltaRhoMinimum","AbsDeltaRhoMaximum","PearsonBHLogKMean","PearsonBHLogKSD","PearsonBHLogKSEM","PearsonBHLogKCI95Low","PearsonBHLogKCI95High","PearsonBHLogKMinimum","PearsonBHLogKMaximum","SpearmanBHLogKMean","SpearmanBHLogKSD","SpearmanBHLogKSEM","SpearmanBHLogKCI95Low","SpearmanBHLogKCI95High","SpearmanBHLogKMinimum","SpearmanBHLogKMaximum"
"Bardeen","g",0,10,0.5921891752988641,0.26562888363100384,0.08399922846017896,0.4021697189681474,0.7822086316295807,0.13478501421536987,0.9232803898040025,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618929,0.6602093226585699,0.16018070925756447,0.250086083457771,0.07908416348375141,-0.018720097631108018,0.33908151614623694,-0.2810015960992848,0.6102242286249476,0.24190830164566252,0.16133807650909818,0.051019579507925794,0.12649399441885567,0.35732260887246936,0.07810639137621134,0.6102242286249476,-0.6882317280123116,0.2318344872427802,0.0733125019864435,-0.8540761295036023,-0.5223873265210208,-0.9549338050728907,-0.29795090306024974,-0.493006993006993,0.38179014614547824,0.12073264500282666,-0.7661232106837103,-0.2198907753302758,-0.9230769230769231,0.0979020979020979
"Bardeen","g",0.1,10,0.5872687185341203,0.2754249821976557,0.08709702682559202,0.39024155544218,0.7842958816260607,0.12921444727950993,0.9249206483755809,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.1552602524928206,0.2581136498230568,0.08162270286199765,-0.02938312943339691,0.33990363441903815,-0.28657216303514477,0.6143469881334239,0.2475944746093079,0.15903567995738432,0.050291497789892455,0.13382720265605258,0.3613617465625632,0.07957010091156513,0.6143469881334239,-0.6824754532006025,0.2418190142567539,0.07646988665880716,-0.85546235504419,-0.5094885513570151,-0.9560361125946095,-0.28007229137585565,-0.5020979020979021,0.3872102899886152,0.12244664498183176,-0.7790914571041616,-0.22510434709164245,-0.9230769230769231,0.1048951048951049
"Bardeen","g",0.2,10,0.5814085116223586,0.29313988646554706,0.09269897142742946,0.3717088694237729,0.7911081538209443,0.041857398878318665,0.9215181315858076,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.14940004558105904,0.278877864014703,0.08818892392891704,-0.050097160364206667,0.3488972515263248,-0.373929211436336,0.6389254194235002,0.255308800222736,0.17363232828183062,0.054907363280865526,0.1310997150865629,0.37951788535890907,0.057948406558776144,0.6389254194235002,-0.6735612167585646,0.2582145644594703,0.08165461487202909,-0.8582767886668541,-0.48884564485027515,-0.9470425629436131,-0.20029556691173267,-0.486013986013986,0.3957387081656199,0.12514356760960335,-0.7691084038601717,-0.20291956816780032,-0.9440559440559441,0.16083916083916083
"Bardeen","g",0.3,10,0.5628638637185687,0.3314109610460885,0.10480134784509787,0.3257867440198743,0.799940983417263,-0.13061379220691752,0.9179010636974928,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.130855397677269,0.315789914370381,0.09986153915199414,-0.09504709840346792,0.35675789375800593,-0.5464004025215722,0.6273630489187426,0.2717597247763615,0.1915455562493911,0.06057202334319752,0.13473628830536716,0.40878316124735586,0.05884435499131968,0.6273630489187426,-0.6497070606968438,0.2978476518571407,0.09418769756014449,-0.8627744353799957,-0.43663968601369196,-0.9397928853741567,-0.018668751981143036,-0.48111888111888107,0.3947014050467043,0.12481554356162639,-0.7634712570153656,-0.19876650522239658,-0.916083916083916,0.16083916083916083
"Hayward","ell",0,10,0.5921891752988641,0.26562888363100384,0.08399922846017896,0.4021697189681474,0.7822086316295807,0.13478501421536987,0.9232803898040025,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618929,0.6602093226585699,0.16018070925756447,0.250086083457771,0.07908416348375141,-0.018720097631108018,0.33908151614623694,-0.2810015960992848,0.6102242286249476,0.24190830164566252,0.16133807650909818,0.051019579507925794,0.12649399441885567,0.35732260887246936,0.07810639137621134,0.6102242286249476,-0.6882317280123116,0.2318344872427802,0.0733125019864435,-0.8540761295036023,-0.5223873265210208,-0.9549338050728907,-0.29795090306024974,-0.493006993006993,0.38179014614547824,0.12073264500282666,-0.7661232106837103,-0.2198907753302758,-0.9230769230769231,0.0979020979020979
"Hayward","ell",0.1,10,0.5900422075167941,0.270717638299833,0.08560843398091054,0.3963824753909401,0.7837019396426481,0.1410759252132704,0.9244120449442084,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.15803374147549448,0.2543773937656105,0.08044119495568454,-0.023936883877554133,0.34000436682854307,-0.2747106851013843,0.6146829340749506,0.2459031564298111,0.1589667111053454,0.05026968792388744,0.1321852218211587,0.3596210910384635,0.07717374426473222,0.6146829340749506,-0.6852093044220589,0.23759521320725024,0.07513420348882305,-0.8551746810154378,-0.5152439278286799,-0.9560807748241027,-0.2890395880518538,-0.4958041958041958,0.38427547316479993,0.12151857441396804,-0.7706983093277804,-0.22091008228061132,-0.9230769230769231,0.0979020979020979
"Hayward","ell",0.2,10,0.5883161342204666,0.2775404173101222,0.08776598614536088,0.38977568001169044,0.7868565884292427,0.1124583724134239,0.9236515613081204,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.156307668179167,0.2631729062600345,0.0832225802227694,-0.031954887778319035,0.34457022413665306,-0.3033282379012308,0.6335662026539998,0.2497519353097029,0.16462090683710653,0.052057701608764204,0.13198923273662533,0.3675146378827805,0.08208346632457786,0.6335662026539998,-0.681198418819582,0.24460811432627497,0.07735187754298922,-0.8561805226593446,-0.5062163149798193,-0.9545746115936747,-0.2690378579693361,-0.502097902097902,0.37968586403784715,0.12006721257286128,-0.7737088070368148,-0.23048699715898913,-0.9230769230769231,0.0979020979020979
"Hayward","ell",0.3,10,0.5789241803552078,0.29183662084496886,0.09228684265170746,0.3701568382186169,0.7876915224917986,0.060039878666177424,0.9233799454506548,0.43200846604129967,0.20127648968862455,0.06364921468594485,0.28802393913300883,0.5759929929495905,0.08937355241618931,0.6602093226585697,0.14691571431390807,0.2764511379968854,0.08742152578156766,-0.050845516415613135,0.3446769450434293,-0.35574673164847725,0.6347243681456077,0.25412500087518947,0.16927105013474197,0.05352820603543363,0.1330357861803952,0.37521421556998374,0.061303781333120866,0.6347243681456077,-0.6666141381499366,0.2603309117097051,0.08232386263508673,-0.8528436536791135,-0.4803846226207597,-0.9514163336941777,-0.20868171351700415,-0.4944055944055944,0.40667874772250184,0.128603111878812,-0.7853260451003878,-0.20348514371080095,-0.9440559440559441,0.16083916083916083
