"Family","ParameterName","ParameterValue","Seed","Protocol","RuntimeSeconds","SourceCheckpoint"
"Bardeen","g",0.3,3,"Original matched-flat KNN",134.959579,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_03.mx"
"Bardeen","g",0.3,4,"Original matched-flat KNN",138.1903604,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_04.mx"
"Bardeen","g",0.3,5,"Original matched-flat KNN",131.2581608,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_05.mx"
"Bardeen","g",0.3,6,"Original matched-flat KNN",136.888592,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_06.mx"
"Bardeen","g",0.3,7,"Original matched-flat KNN",137.6569589,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_07.mx"
"Bardeen","g",0.3,8,"Original matched-flat KNN",138.6744964,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_08.mx"
"Bardeen","g",0.3,9,"Original matched-flat KNN",130.8849757,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_09.mx"
"Bardeen","g",0.3,10,"Original matched-flat KNN",150.4617517,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_10.mx"
"Hayward","ell",0,1,"Original matched-flat KNN",278.8369409,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_01.mx"
"Hayward","ell",0,2,"Original matched-flat KNN",295.4141928,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_02.mx"
"Hayward","ell",0,3,"Original matched-flat KNN",290.3883668,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_03.mx"
"Hayward","ell",0,4,"Original matched-flat KNN",179.9666381,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_04.mx"
"Hayward","ell",0,5,"Original matched-flat KNN",130.3831323,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_05.mx"
"Hayward","ell",0,6,"Original matched-flat KNN",142.4440973,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_06.mx"
"Hayward","ell",0,7,"Original matched-flat KNN",146.5293483,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_07.mx"
"Hayward","ell",0,8,"Original matched-flat KNN",141.2359713,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_08.mx"
"Hayward","ell",0,9,"Original matched-flat KNN",136.0017748,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_09.mx"
"Hayward","ell",0,10,"Original matched-flat KNN",147.3819142,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_10.mx"
"Hayward","ell",0.1,1,"Original matched-flat KNN",158.2963767,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_01.mx"
"Hayward","ell",0.1,2,"Original matched-flat KNN",224.1807195,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_02.mx"
"Hayward","ell",0.1,3,"Original matched-flat KNN",216.1780072,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_03.mx"
"Hayward","ell",0.1,4,"Original matched-flat KNN",204.467921,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_04.mx"
"Hayward","ell",0.1,5,"Original matched-flat KNN",171.7874077,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_05.mx"
"Hayward","ell",0.1,6,"Original matched-flat KNN",136.5326141,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_06.mx"
"Hayward","ell",0.1,7,"Original matched-flat KNN",266.6663975,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_07.mx"
"Hayward","ell",0.1,8,"Original matched-flat KNN",173.8345737,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_08.mx"
"Hayward","ell",0.1,9,"Original matched-flat KNN",202.3020825,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_09.mx"
"Hayward","ell",0.1,10,"Original matched-flat KNN",172.9691859,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_10.mx"
"Hayward","ell",0.2,1,"Original matched-flat KNN",169.9711855,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_01.mx"
"Hayward","ell",0.2,2,"Original matched-flat KNN",172.0418024,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_02.mx"
"Hayward","ell",0.2,3,"Original matched-flat KNN",133.4809176,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_03.mx"
"Hayward","ell",0.2,4,"Original matched-flat KNN",169.5072952,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_04.mx"
"Hayward","ell",0.2,5,"Original matched-flat KNN",147.4191067,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_05.mx"
"Hayward","ell",0.2,6,"Original matched-flat KNN",215.0156133,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_06.mx"
"Hayward","ell",0.2,7,"Original matched-flat KNN",135.3972028,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_07.mx"
"Hayward","ell",0.2,8,"Original matched-flat KNN",141.4043196,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_08.mx"
"Hayward","ell",0.2,9,"Original matched-flat KNN",146.5958785,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_09.mx"
"Hayward","ell",0.2,10,"Original matched-flat KNN",141.3297538,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p2\seed_10.mx"
"Hayward","ell",0.3,1,"Original matched-flat KNN",149.8113739,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_01.mx"
"Hayward","ell",0.3,2,"Original matched-flat KNN",144.621087,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_02.mx"
"Hayward","ell",0.3,3,"Original matched-flat KNN",150.6479669,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_03.mx"
"Hayward","ell",0.3,4,"Original matched-flat KNN",123.7855125,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_04.mx"
"Hayward","ell",0.3,5,"Original matched-flat KNN",150.0268513,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p3\seed_05.mx"
