"Family","ParameterName","ParameterValue","Protocol","NSeeds","RhoBHMean","RhoBHSD","RhoFlatMean","RhoFlatSD","DeltaRhoMean","DeltaRhoSD","AbsDeltaRhoMean","AbsDeltaRhoSD","PearsonBHLogKMean","PearsonBHLogKSD","SpearmanRhoBHMean","SpearmanRhoBHSD","SpearmanRhoFlatMean","SpearmanRhoFlatSD","SpearmanBHLogKMean","SpearmanBHLogKSD"
"Bardeen","g",0,"Original matched-flat KNN",10,0.5921891752988641,0.26562888363100384,0.43200846604129967,0.20127648968862455,0.16018070925756447,0.250086083457771,0.24190830164566252,0.16133807650909818,-0.6882317280123116,0.2318344872427802,0.493006993006993,0.38179014614547824,0.4076923076923077,0.16193505237593298,-0.493006993006993,0.38179014614547824
"Bardeen","g",0.1,"Original matched-flat KNN",10,0.5872687185341203,0.2754249821976557,0.43200846604129967,0.20127648968862455,0.1552602524928206,0.2581136498230568,0.2475944746093079,0.15903567995738432,-0.6824754532006025,0.2418190142567539,0.5020979020979021,0.3872102899886152,0.4076923076923077,0.16193505237593298,-0.5020979020979021,0.3872102899886152
"Bardeen","g",0.2,"Original matched-flat KNN",10,0.5814085116223586,0.29313988646554706,0.43200846604129967,0.20127648968862455,0.14940004558105904,0.278877864014703,0.255308800222736,0.17363232828183062,-0.6735612167585646,0.2582145644594703,0.486013986013986,0.3957387081656199,0.4076923076923077,0.16193505237593298,-0.486013986013986,0.3957387081656199
"Bardeen","g",0.3,"Original matched-flat KNN",10,0.5628638637185687,0.3314109610460885,0.43200846604129967,0.20127648968862455,0.130855397677269,0.315789914370381,0.2717597247763615,0.1915455562493911,-0.6497070606968438,0.2978476518571407,0.48111888111888107,0.3947014050467043,0.4076923076923077,0.16193505237593298,-0.48111888111888107,0.3947014050467043
"Hayward","ell",0,"Original matched-flat KNN",10,0.5921891752988641,0.26562888363100384,0.43200846604129967,0.20127648968862455,0.16018070925756447,0.250086083457771,0.24190830164566252,0.16133807650909818,-0.6882317280123116,0.2318344872427802,0.493006993006993,0.38179014614547824,0.4076923076923077,0.16193505237593298,-0.493006993006993,0.38179014614547824
"Hayward","ell",0.1,"Original matched-flat KNN",10,0.5900422075167941,0.270717638299833,0.43200846604129967,0.20127648968862455,0.15803374147549448,0.2543773937656105,0.2459031564298111,0.1589667111053454,-0.6852093044220589,0.23759521320725024,0.4958041958041958,0.38427547316479993,0.4076923076923077,0.16193505237593298,-0.4958041958041958,0.38427547316479993
"Hayward","ell",0.2,"Original matched-flat KNN",10,0.5883161342204666,0.2775404173101222,0.43200846604129967,0.20127648968862455,0.156307668179167,0.2631729062600345,0.2497519353097029,0.16462090683710653,-0.681198418819582,0.24460811432627497,0.502097902097902,0.37968586403784715,0.4076923076923077,0.16193505237593298,-0.502097902097902,0.37968586403784715
"Hayward","ell",0.3,"Original matched-flat KNN",10,0.5789241803552078,0.29183662084496886,0.43200846604129967,0.20127648968862455,0.14691571431390807,0.2764511379968854,0.25412500087518947,0.16927105013474197,-0.6666141381499366,0.2603309117097051,0.4944055944055944,0.40667874772250184,0.4076923076923077,0.16193505237593298,-0.4944055944055944,0.40667874772250184
