"Family","ParameterName","ParameterValue","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","CommonProfileHash","SourceCheckpoint"
"Bardeen","g",0.1,7,"Original matched-flat KNN",1000,16,3,12,12,10052,9093,20.104,18.186,1,1,1,1,1,1,0.7896791802501185,,-959,,8.881784197001252e-16,1.335246562863172e+76,5.981525551774026e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_07.mx"
"Bardeen","g",0.1,8,"Original matched-flat KNN",1000,16,3,12,12,10156,9041,20.312,18.082,1,1,1,1,1,1,0.7873661482148561,,-1115,,8.881784197001252e-16,3.113810890554713e+76,1.0420463713847306e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_08.mx"
"Bardeen","g",0.1,9,"Original matched-flat KNN",1000,16,3,12,12,9995,9097,19.99,18.194,1,1,1,1,1,1,0.7760441184878972,,-898,,8.881784197001252e-16,2.1619982498812847e+75,4.38095747567824e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_09.mx"
"Bardeen","g",0.1,10,"Original matched-flat KNN",1000,16,3,12,12,10234,8978,20.468,17.956,1,1,1,1,1,1,0.8035004877197018,,-1256,,8.881784197001252e-16,6.989702763945915e+76,1.0699917022464814e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p1\seed_10.mx"
"Bardeen","g",0.2,1,"Original matched-flat KNN",1000,16,3,12,12,10346,9071,20.692,18.142,1,1,1,1,1,1,0.7944077983000384,,-1275,,8.881784197001252e-16,9.804047888925079e+75,2.4445101289437452e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_01.mx"
"Bardeen","g",0.2,2,"Original matched-flat KNN",1000,16,3,12,12,10232,9079,20.464,18.158,1,1,1,1,1,1,0.7906576853606369,,-1153,,8.881784197001252e-16,1.5530873545265394e+76,4.65919027488432e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_02.mx"
"Bardeen","g",0.2,3,"Original matched-flat KNN",1000,16,3,12,12,10172,9005,20.344,18.01,1,1,1,1,1,1,0.794867758587899,,-1167,,8.881784197001252e-16,7.413725372108441e+76,4.462762284319917e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_03.mx"
"Bardeen","g",0.2,4,"Original matched-flat KNN",1000,16,3,12,12,10225,9055,20.45,18.11,1,1,1,1,1,1,0.7962429540996289,,-1170,,8.881784197001252e-16,1.0930062021727885e+77,4.050347385131264e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_04.mx"
"Bardeen","g",0.2,5,"Original matched-flat KNN",1000,16,3,12,12,10134,8977,20.268,17.954,1,1,1,1,1,1,0.8013490045648585,,-1157,,8.881784197001252e-16,3.6137525681300234e+76,6.119413836036471e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_05.mx"
"Bardeen","g",0.2,6,"Original matched-flat KNN",1000,16,3,12,12,10194,9048,20.388,18.096,1,1,1,1,1,1,0.7959453513787802,,-1146,,8.881784197001252e-16,1.0778629044762434e+77,6.222989207394704e+75,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_06.mx"
"Bardeen","g",0.2,7,"Original matched-flat KNN",1000,16,3,12,12,10056,9093,20.112,18.186,1,1,1,1,1,1,0.789319223801673,,-963,,8.881784197001252e-16,1.335246562863172e+76,9.337384854701342e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_07.mx"
"Bardeen","g",0.2,8,"Original matched-flat KNN",1000,16,3,12,12,10152,9041,20.304,18.082,1,1,1,1,1,1,0.7865943069981689,,-1111,,8.881784197001252e-16,3.113810890554713e+76,2.280651777854274e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_08.mx"
"Bardeen","g",0.2,9,"Original matched-flat KNN",1000,16,3,12,12,9991,9097,19.982,18.194,1,1,1,1,1,1,0.7753167954935531,,-894,,8.881784197001252e-16,2.1619982498812847e+75,1.0377053948375339e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_09.mx"
"Bardeen","g",0.2,10,"Original matched-flat KNN",1000,16,3,12,12,10212,8978,20.424,17.956,1,1,1,1,1,1,0.8019260479622259,,-1234,,8.881784197001252e-16,6.989702763945915e+76,8.180634995442052e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p2\seed_10.mx"
"Bardeen","g",0.3,1,"Original matched-flat KNN",1000,16,3,12,12,10371,9071,20.742,18.142,1,1,1,1,1,1,0.793767188636051,,-1300,,8.881784197001252e-16,9.804047888925079e+75,1.0135992279915228e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_01.mx"
"Bardeen","g",0.3,2,"Original matched-flat KNN",1000,16,3,12,12,10203,9079,20.406,18.158,1,1,1,1,1,1,0.7880860357246846,,-1124,,8.881784197001252e-16,1.5530873545265394e+76,6.109042966894729e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\bardeen\g_0p3\seed_02.mx"
