"Protocol","MeanAbsDeltaRho","StdAbsDeltaRho","SEMAbsDeltaRho","CI95HalfWidth","MinAbsDeltaRho","MaxAbsDeltaRho","MeanDeltaRho","PositiveDeltaFraction","NSeeds"
"Original matched-flat KNN",0.623663475710927,0.5909844342721411,0.4178891010495264,5.30978447495128,0.20577437466140047,1.0415525767604534,-0.623663475710927,0,2
"Strict radius",0.3628288830482315,0.12670680680381902,0.0895952423134742,1.1384154922221854,0.2732336407347573,0.45242412536170573,0.3628288830482315,1,2
"Pure KNN",0.3763374610877001,0.14515660863251026,0.10264122229808974,1.3041803848907478,0.27369623878961036,0.47897868338578986,-0.3763374610877001,0,2
"Mutual KNN",0.25505272168317616,0.22916091573730182,0.16204123750076513,2.058929139387831,0.09301148418241101,0.41709395918394127,0.16204123750076513,0.5,2
"Edge-matched radius",0.43770981814527293,0.160654664449491,0.11360000266148444,1.4434248918468118,0.3241098154837885,0.5513098208067574,0.43770981814527293,1,2
