"k","MatchedFlatMean","MatchedFlatStd","FlammMean","FlammStd"
12,0.12539184282896115,0.33018290494715685,-0.9421250987456924,0.015827267050631588
14,0.1551623221503172,0.5096630207244403,-0.960752343526046,0.027211359387525537
16,0.02209661029898886,0.2923951632627871,-0.9601548925393661,0.02004589658533791
18,0.16486834763029284,0.41252814826895784,-0.965461320598591,0.01804405765312784
20,0.37165740911545914,0.1655795407605987,-0.9616103787397826,0.02318673647056797
