"{Bin : 1., rMean : 1.215310549223186, EstimatorMean : 1.3692106074480446, EstimatorStd : 0.11172871250628146, Count : 96.}"
"{Bin : 2., rMean : 1.537649342104857, EstimatorMean : 1.3812441498660624, EstimatorStd : 0.11535891172749897, Count : 67.}"
"{Bin : 3., rMean : 1.8761495823331653, EstimatorMean : 1.3646958437113228, EstimatorStd : 0.11149090504563089, Count : 92.}"
"{Bin : 4., rMean : 2.1843550616865244, EstimatorMean : 1.338875167877911, EstimatorStd : 0.1166958682005904, Count : 67.}"
"{Bin : 5., rMean : 2.5446103629399563, EstimatorMean : 1.287670214112432, EstimatorStd : 0.13947886549048524, Count : 85.}"
"{Bin : 6., rMean : 2.8612562686146337, EstimatorMean : 1.2583388080938003, EstimatorStd : 0.1264649755607873, Count : 88.}"
"{Bin : 7., rMean : 3.1802313761819305, EstimatorMean : 1.2132402879352844, EstimatorStd : 0.12018974078489064, Count : 86.}"
"{Bin : 8., rMean : 3.506730477482377, EstimatorMean : 1.1998764752285223, EstimatorStd : 0.14844016835045168, Count : 80.}"
"{Bin : 9., rMean : 3.8447819632669713, EstimatorMean : 1.134143846117847, EstimatorStd : 0.16255260692051351, Count : 87.}"
"{Bin : 10., rMean : 4.1769189572408125, EstimatorMean : 1.1342738213324195, EstimatorStd : 0.14562533556975824, Count : 96.}"
"{Bin : 11., rMean : 4.486981344255361, EstimatorMean : 1.128669089214202, EstimatorStd : 0.14761993278481547, Count : 81.}"
"{Bin : 12., rMean : 4.828749466315805, EstimatorMean : 1.0811085255726753, EstimatorStd : 0.19499382754309932, Count : 75.}"
