"Geometry","Seed","N","R","thetaMax","k","Radius","Bins","CurvedCorrRLogCMD","MatchedFlatCorrRLogCMD","ProfileMeanDifference","ProfileRMSDifference","ProfileMaxAbsDifference"
"SphereCap",1,500,2,"-Times-",16,3,12,0.7407242469879246,0.8230271887355548,-0.0069239666432064735,0.013977959873843508,0.0378339716434124
"SphereCap",2,500,2,"-Times-",16,3,12,0.5840139780969358,0.6146569797649218,-0.005025351096086317,0.014073644522573254,0.027469711455147428
"SphereCap",3,500,2,"-Times-",16,3,12,0.6240957559945903,0.6388343675358904,-0.0057362834927615625,0.015616385786234713,0.029125459400489717
"SphereCap",4,500,2,"-Times-",16,3,12,0.695735420527366,0.6673584630453782,-0.004725215735705761,0.014437270471263192,0.029512242439258207
"SphereCap",5,500,2,"-Times-",16,3,12,0.5254560070478451,0.5005822958919056,-0.0013481432451952953,0.011309301078844267,0.020615740888579426
"SphereCap",6,500,2,"-Times-",16,3,12,0.8181057198371268,0.7623488084364812,-0.008958969405865325,0.01633257753571566,0.029443268783821086
"SphereCap",7,500,2,"-Times-",16,3,12,0.7058474665615716,0.695328417184452,-0.009704368140182182,0.017157168580271897,0.03330375048531997
"SphereCap",8,500,2,"-Times-",16,3,12,0.7803028416850126,0.6304217126431785,-0.005105743875605177,0.01488658555207203,0.02362379504256218
"SphereCap",9,500,2,"-Times-",16,3,12,0.7621615798711525,0.7089757733389914,-0.007400856432151344,0.015189211531061775,0.029605603137577097
"SphereCap",10,500,2,"-Times-",16,3,12,0.8239644158940259,0.8430172915337536,0.0024031573394546757,0.012098398386904496,0.02120673258167205
"HyperbolicDisk",1,500,1,"",16,3,12,0.9285765752137888,0.9202812705936845,0.005574748410725268,0.020036883147009077,0.039406062288193766
"HyperbolicDisk",2,500,1,"",16,3,12,0.9320333225829612,0.7304672021572544,0.009611998187642542,0.03255804301622637,0.05845425406871141
"HyperbolicDisk",3,500,1,"",16,3,12,0.9023716598547906,0.8434134536569259,0.01313168603610502,0.027443788006581395,0.04458392958882085
"HyperbolicDisk",4,500,1,"",16,3,12,0.8072475646515637,0.5847617833384341,0.01399400564334887,0.040305157883022844,0.0783309708015405
"HyperbolicDisk",5,500,1,"",16,3,12,0.6679715901916066,0.4259276585059422,0.007782822474460142,0.029547227751988356,0.056461397795873
"HyperbolicDisk",6,500,1,"",16,3,12,0.9205157644759239,0.9169743318250397,-0.012648045374089941,0.030353167192384754,0.06415005313068267
"HyperbolicDisk",7,500,1,"",16,3,12,0.8696252500314826,0.8504984279830525,-0.016942343651620173,0.02902042419970281,0.05070829685645517
"HyperbolicDisk",8,500,1,"",16,3,12,0.9357149915226446,0.7823524741489939,0.018222040367257275,0.03326579798332592,0.05538387924109389
"HyperbolicDisk",9,500,1,"",16,3,12,0.915633319940565,0.8270435724558491,0.014332978778701674,0.025673835830214445,0.04464125581022915
"HyperbolicDisk",10,500,1,"",16,3,12,0.8552323431849107,0.9159810566727341,0.029928213814226928,0.034734001981026004,0.057442122908797355
