"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","CommonProfileHash","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","SourceRunner","SourceCheckpoint","RuntimeSeconds"
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,"6851985451853590206135188895193409650092045677214351780333760490122520712113",-0.3545025749218875,0.703135501560563,-1.0576380764824505,1.0576380764824505,0.37714417074109663,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,1.6468606058934432,,250,250,-243,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx",34.1203909
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,1,"Strict radius",250,0.5,16,3,12,12,"44498794301029883447073708809943281612477083481979493925026438135434412647748",-0.3545025749218875,-0.7908412005615962,0.4363386256397087,0.4363386256397087,0.37714417074109663,-0.27972027972027974,-0.6783216783216783,0.27972027972027974,2549,2496,20.392,19.968,1,1,1,1,1,1,1.6468606058934432,1.4856284532322819,250,250,-53,,8.881784197001252e-16,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx",34.1203909
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,1,"Pure KNN",250,0.5,16,3,12,12,"100635699602167560950128592846385834305522710778918969564257308107320723051361",0.2902807988552688,0.7031355015605633,-0.41285470270529445,0.41285470270529445,-0.39130833954647637,0.32867132867132864,0.7832167832167832,-0.32867132867132864,2291,2306,18.328,18.448,1,1,1,1,1,1,,,250,250,15,,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx",34.1203909
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,1,"Mutual KNN",250,0.5,16,3,12,12,"60607318172079113206927953309721694731217445029433647937068697212656803793614",0.683207433887813,0.2661134747038717,0.4170939591839413,0.4170939591839413,-0.7371907804425599,0.6013986013986014,0.14685314685314685,-0.6013986013986014,1709,1694,13.672,13.552,1,1,1,1,1,1,,,250,250,-15,,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx",34.1203909
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,1,"Edge-matched radius",250,0.5,16,3,12,12,"49783105399188511602896508975664718481542661905653479478012924789221021846300",-0.3545025749218875,-0.8935847416599269,0.5390821667380393,0.5390821667380393,0.37714417074109663,-0.27972027972027974,-0.8531468531468531,0.27972027972027974,2549,2549,20.392,20.392,1,1,1,1,1,1,1.6468606058934432,1.4985010967595411,250,250,0,1,0,"34955919412611307416191342204880539627357230708786572897048039424509227005416","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx",34.1203909
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,"68475808937123407769903504187683022715936397728119390383540739910643527423565",0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5172794973249634,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,1.6507907760508815,,250,250,-212,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx",32.1075733
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,2,"Strict radius",250,0.5,16,3,12,12,"83293252920216942767753323131732151536576304848382665473247781747775314095577",0.47920760478691193,0.2059739640521545,0.2732336407347574,0.2732336407347574,-0.5172794973249634,0.40559440559440557,0.2937062937062937,-0.40559440559440557,2532,2524,20.256,20.192,1,1,1,1,1,1,1.6507907760508815,1.508831024269035,250,250,-8,,8.881784197001252e-16,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx",32.1075733
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,2,"Pure KNN",250,0.5,16,3,12,12,"108368224248866677479128111305935908019193491351389446334767933593599097342343",0.17119467991859214,0.6849819794483124,-0.5137872995297202,0.5137872995297202,-0.28533255550175246,0.09090909090909091,0.7272727272727273,-0.09090909090909091,2327,2320,18.616,18.56,1,1,1,1,1,1,,,250,250,-7,,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx",32.1075733
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,2,"Mutual KNN",250,0.5,16,3,12,12,"91909357823715326556915513392967084724784497992857814363399064908389466866853",0.7683942452395176,0.8665396770005774,-0.09814543176105983,0.09814543176105983,-0.789772211881984,0.8181818181818182,0.7972027972027972,-0.8181818181818182,1673,1680,13.384,13.44,1,1,1,1,1,1,,,250,250,7,,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx",32.1075733
"2026-08-bardeen-hayward-canonical-v3","Hayward","ell",0.2,2,"Edge-matched radius",250,0.5,16,3,12,12,"41957246814587957553811187384634638818931852094055699937326238073887607964776",0.47920760478691193,0.15509778930312348,0.3241098154837885,0.3241098154837885,-0.5172794973249634,0.40559440559440557,0.22377622377622378,-0.40559440559440557,2532,2532,20.256,20.256,1,1,1,1,1,1,1.6507907760508815,1.5120352349705093,250,250,0,1,0,"10263502263322739778183580438824178296718934447417983242071140798715564187170","scripts/run_broader_family_audit.wls","C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx",32.1075733
