"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SourceCheckpoint"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,1,"Pure KNN",250,0.5,16,3,12,12,0.3667693141739847,0.7031355015605633,-0.3363661873865786,0.3363661873865786,-0.45974517860355135,0.11888111888111888,0.7832167832167832,-0.11888111888111888,2292,2306,18.336,18.448,1,1,1,1,1,1,250,250,14,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,1,"Mutual KNN",250,0.5,16,3,12,12,0.695502498790463,0.2661134747038717,0.4293890240865913,0.4293890240865913,-0.7457345747772811,0.6013986013986014,0.14685314685314685,-0.6013986013986014,1708,1694,13.664,13.552,1,1,1,1,1,1,250,250,-14,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,1,"Edge-matched radius",250,0.5,16,3,12,12,-0.33167201840494226,-0.8935847416599269,0.5619127232549845,0.5619127232549845,0.35700454617719773,-0.27972027972027974,-0.8531468531468531,0.27972027972027974,2549,2549,20.392,20.392,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.4784580624321115,0.6849819794483124,-0.20652391701620093,0.20652391701620093,-0.5092111267341557,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2534,2320,20.272,18.56,1,1,1,1,1,1,250,250,-214,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Strict radius",250,0.5,16,3,12,12,0.4784580624321115,0.2059739640521545,0.27248409837995696,0.27248409837995696,-0.5092111267341557,0.4125874125874126,0.2937062937062937,-0.4125874125874126,2534,2524,20.272,20.192,1,1,1,1,1,1,250,250,-10,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Pure KNN",250,0.5,16,3,12,12,0.1779460316195729,0.6849819794483124,-0.5070359478287395,0.5070359478287395,-0.29151467251626273,0.21678321678321677,0.7272727272727273,-0.21678321678321677,2327,2320,18.616,18.56,1,1,1,1,1,1,250,250,-7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Mutual KNN",250,0.5,16,3,12,12,0.7435465688022842,0.8665396770005774,-0.12299310819829323,0.12299310819829323,-0.7720357470651379,0.7482517482517482,0.7972027972027972,-0.7482517482517482,1673,1680,13.384,13.44,1,1,1,1,1,1,250,250,7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Edge-matched radius",250,0.5,16,3,12,12,0.4784580624321115,0.141653377488693,0.3368046849434185,0.3368046849434185,-0.5092111267341557,0.4125874125874126,0.22377622377622378,-0.4125874125874126,2534,2534,20.272,20.272,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.3545025749218875,0.703135501560563,-1.0576380764824505,1.0576380764824505,0.37714417074109663,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,250,250,-243,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Strict radius",250,0.5,16,3,12,12,-0.3545025749218875,-0.7908412005615962,0.4363386256397087,0.4363386256397087,0.37714417074109663,-0.27972027972027974,-0.6783216783216783,0.27972027972027974,2549,2496,20.392,19.968,1,1,1,1,1,1,250,250,-53,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Pure KNN",250,0.5,16,3,12,12,0.2902807988552688,0.7031355015605633,-0.41285470270529445,0.41285470270529445,-0.39130833954647637,0.32867132867132864,0.7832167832167832,-0.32867132867132864,2291,2306,18.328,18.448,1,1,1,1,1,1,250,250,15,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Mutual KNN",250,0.5,16,3,12,12,0.683207433887813,0.2661134747038717,0.4170939591839413,0.4170939591839413,-0.7371907804425599,0.6013986013986014,0.14685314685314685,-0.6013986013986014,1709,1694,13.672,13.552,1,1,1,1,1,1,250,250,-15,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Edge-matched radius",250,0.5,16,3,12,12,-0.3545025749218875,-0.8935847416599269,0.5390821667380393,0.5390821667380393,0.37714417074109663,-0.27972027972027974,-0.8531468531468531,0.27972027972027974,2549,2549,20.392,20.392,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5172794973249634,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Strict radius",250,0.5,16,3,12,12,0.47920760478691193,0.2059739640521545,0.2732336407347574,0.2732336407347574,-0.5172794973249634,0.40559440559440557,0.2937062937062937,-0.40559440559440557,2532,2524,20.256,20.192,1,1,1,1,1,1,250,250,-8,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Pure KNN",250,0.5,16,3,12,12,0.17119467991859214,0.6849819794483124,-0.5137872995297202,0.5137872995297202,-0.28533255550175246,0.09090909090909091,0.7272727272727273,-0.09090909090909091,2327,2320,18.616,18.56,1,1,1,1,1,1,250,250,-7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Mutual KNN",250,0.5,16,3,12,12,0.7683942452395176,0.8665396770005774,-0.09814543176105983,0.09814543176105983,-0.789772211881984,0.8181818181818182,0.7972027972027972,-0.8181818181818182,1673,1680,13.384,13.44,1,1,1,1,1,1,250,250,7,,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Edge-matched radius",250,0.5,16,3,12,12,0.47920760478691193,0.15509778930312348,0.3241098154837885,0.3241098154837885,-0.5172794973249634,0.40559440559440557,0.22377622377622378,-0.40559440559440557,2532,2532,20.256,20.256,1,1,1,1,1,1,250,250,0,1,0,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\anchor\hayward\ell_0p2\seed_02.mx"
