"AuditVersion","Family","ParameterName","ParameterValue","Seed","Protocol","N","M","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","PearsonBHLogK","SpearmanRhoBH","SpearmanRhoFlat","SpearmanBHLogK","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHVertexCount","FlatVertexCount","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SourceCheckpoint"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.1,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.3545025749218875,0.703135501560563,-1.0576380764824505,1.0576380764824505,0.3757721822267244,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,250,250,-243,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p1\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.1,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5198122697046649,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p1\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.33167201840494226,0.703135501560563,-1.0348075199655054,1.0348075199655054,0.35700454617719773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,250,250,-243,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.4784580624321115,0.6849819794483124,-0.20652391701620093,0.20652391701620093,-0.5092111267341557,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2534,2320,20.272,18.56,1,1,1,1,1,1,250,250,-214,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.3,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.39238281069094705,0.703135501560563,-1.0955183122515102,1.0955183122515102,0.4190366844600155,-0.40559440559440557,0.7832167832167832,0.40559440559440557,2555,2306,20.44,18.448,1,1,1,1,1,1,250,250,-249,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p3\seed_01.mx"
"2026-08-broader-family-canonical-v2","Bardeen","g",0.3,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.4957773455247435,0.6849819794483124,-0.1892046339235689,0.1892046339235689,-0.5220115231833221,0.4125874125874126,0.7272727272727273,-0.4125874125874126,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\bardeen\g_0p3\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.3384170751998905,0.703135501560563,-1.0415525767604534,1.0415525767604534,0.36043268640836773,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2548,2306,20.384,18.448,1,1,1,1,1,1,250,250,-242,,1.3322676295501878e-15,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5205139055728627,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,1.7763568394002505e-15,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.1,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.33841707519989045,0.703135501560563,-1.0415525767604534,1.0415525767604534,0.36085590871245843,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2548,2306,20.384,18.448,1,1,1,1,1,1,250,250,-242,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p1\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.1,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5196951981679518,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p1\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.3545025749218875,0.703135501560563,-1.0576380764824505,1.0576380764824505,0.37714417074109663,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2549,2306,20.392,18.448,1,1,1,1,1,1,250,250,-243,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p2\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.2,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.47920760478691193,0.6849819794483124,-0.20577437466140047,0.20577437466140047,-0.5172794973249634,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2532,2320,20.256,18.56,1,1,1,1,1,1,250,250,-212,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p2\seed_02.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.3,1,"Original matched-flat KNN",250,0.5,16,3,12,12,-0.32869236197140406,0.703135501560563,-1.031827863531967,1.031827863531967,0.3562373381957145,-0.27972027972027974,0.7832167832167832,0.27972027972027974,2550,2306,20.4,18.448,1,1,1,1,1,1,250,250,-244,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p3\seed_01.mx"
"2026-08-broader-family-canonical-v2","Hayward","ell",0.3,2,"Original matched-flat KNN",250,0.5,16,3,12,12,0.4749596447560389,0.6849819794483124,-0.2100223346922735,0.2100223346922735,-0.5071522749915975,0.40559440559440557,0.7272727272727273,-0.40559440559440557,2533,2320,20.264,18.56,1,1,1,1,1,1,250,250,-213,,8.881784197001252e-16,"C:\Users\palom\Documents\graphs\results\broader_family_audit_smoke\checkpoints\scan\hayward\ell_0p3\seed_02.mx"
