"Protocol","MeanAbsDeltaRho","StdAbsDeltaRho","SEMAbsDeltaRho","CI95HalfWidth","MinAbsDeltaRho","MaxAbsDeltaRho","MeanDeltaRho","PositiveDeltaFraction","NSeeds"
"Original matched-flat KNN",0.24190830164566252,0.16133807650909818,0.051019579507925794,0.11541430722680684,0.07810639137621134,0.6102242286249476,0.16018070925756447,0.8,10
"Strict radius",0.6883116120040708,0.4420714122210075,0.13979525510655788,0.3162388376645022,0.1140101938211121,1.3617007279651054,0.6883116120040708,1,10
"Pure KNN",0.23323040058453276,0.19882798789113823,0.06287493043243755,0.14223297423817743,0.019642130744432176,0.5258724119139274,-0.18922433988647566,0.2,10
"Mutual KNN",0.4224263150447454,0.3225493753302344,0.10199906839080661,0.23073792315900712,0.055830257518197965,1.0134375103405442,0.3923155658236583,0.8,10
"Edge-matched radius",0.6814689978659434,0.4449802090760645,0.14071509743782934,0.318319665582833,0.1121761759532155,1.3134866515174708,0.6814689978659434,1,10
