"AuditVersion","Model","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","RhoBH","RhoFlat","DeltaRho","AbsDeltaRho","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch"
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",5,"Strict radius",1000,16,3,12,12,0.13478501421536987,-0.8344784462870988,0.9692634605024686,0.9692634605024686,1,1,10118,10345,20.236,20.69,1,1,1,1,0.8022515352005237,0.7343473220416075,227,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",5,"Pure KNN",1000,16,3,12,12,-0.11008580159927273,0.4157866103146547,-0.5258724119139274,0.5258724119139274,1,1,8985,8977,17.97,17.954,1,1,1,1,,,-8,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",5,"Mutual KNN",1000,16,3,12,12,0.0793382853126663,0.13516854283086427,-0.055830257518197965,0.055830257518197965,1,1,7015,7023,14.03,14.046,1,1,1,1,,,8,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",5,"Edge-matched radius",1000,16,3,12,12,0.13478501421536987,-0.8300192067449693,0.9648042209603391,0.9648042209603391,1,1,10118,10118,20.236,20.236,1,1,1,1,0.8022515352005237,0.7252836234489106,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",6,"Original matched-flat KNN",1000,16,3,12,12,0.4175053238175561,0.3287561206470146,0.08874920317054152,0.08874920317054152,1,1,10173,9048,20.346,18.096,1,1,1,1,0.7961464190314037,,-1125,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",6,"Strict radius",1000,16,3,12,12,0.4175053238175561,-0.6040625906182413,1.0215679144357974,1.0215679144357974,1,1,10173,10107,20.346,20.214,1,1,1,1,0.7961464190314037,0.7222749009691107,-66,,1.3322676295501878e-15
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",6,"Pure KNN",1000,16,3,12,12,0.2742949226794283,0.3287561206470146,-0.054461197967586306,0.054461197967586306,1,1,9036,9048,18.072,18.096,1,1,1,1,,,12,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",6,"Mutual KNN",1000,16,3,12,12,0.03425296032732043,-0.564690890022312,0.5989438503496324,0.5989438503496324,1,1,6964,6952,13.928,13.904,1,1,1,1,,,-12,,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",6,"Edge-matched radius",1000,16,3,12,12,0.4175053238175561,-0.5782150571376031,0.9957203809551592,0.9957203809551592,1,1,10173,10173,20.346,20.346,1,1,1,1,0.7961464190314037,0.7255833862033163,0,1,0
"2026-08-multiseed-construction-audit-v2","Schwarzschild/Flamm",7,"Original matched-flat KNN",1000,16,3,12,12,0.750253517956332,0.6602093226585699,0.09004419529776209,0.09004419529776209,1,1,10056,9093,20.112,18.186,1,1,1,1,0.7899363552358623,,-963,,1.3322676295501878e-15
